id,name,location,specialty,experience
D001,Jane Mckinney,Los Angeles,Neurologist,24
D002,Jessica Edwards,Chicago,Orthopedic,28
D003,Seth Hernandez,Seattle,Endocrinologist,18
D004,Tracy Moore,Chicago,Cardiologist,29
D005,Michelle Gilbert,Los Angeles,Orthopedic,6
D006,Jonathan Norman,Los Angeles,Endocrinologist,25
D007,Todd Martin,Los Angeles,Pulmonologist,29
D008,Michael Duran,Houston,Pulmonologist,9
D009,Samantha Walsh,Los Angeles,Cardiologist,18
D010,Robert Farmer,Los Angeles,Orthopedic,27
D011,Rachel Matthews,Denver,Neurologist,28
D012,Cheryl Thomas MD,Los Angeles,Orthopedic,6
D013,Andrew Franklin,Los Angeles,Neurologist,10
D014,Gregory Ferguson,Miami,Pulmonologist,29
D015,Brittany Mata,Houston,General Practitioner,10
D016,Matthew Smith,Chicago,Pulmonologist,12
D017,Jenna Montgomery,Houston,General Practitioner,6
D018,Gabriel Rivers,New York,Neurologist,27
D019,Crystal Moss,Denver,General Practitioner,29
D020,Jacob Herman,Los Angeles,Orthopedic,27
D021,Tara Stewart,Denver,Pulmonologist,26
D022,Antonio Simpson,Houston,Endocrinologist,13
D023,Deborah Ellis,Seattle,Endocrinologist,29
D024,William Campbell,Miami,Endocrinologist,18
D025,Cody Howard,Seattle,Orthopedic,14
D026,Christine Graves,Miami,Pulmonologist,11
D027,Thomas Miller,Miami,Orthopedic,5
D028,Melissa Logan,Chicago,Neurologist,27
D029,Lisa Ray,Los Angeles,Endocrinologist,5
D030,Susan Edwards,Los Angeles,Neurologist,9
D031,Eric Delgado,Denver,Orthopedic,20
D032,Robert James,Chicago,Neurologist,28
D033,Parker Chambers,Chicago,Neurologist,6
D034,Madeline Love,Denver,Orthopedic,16
D035,Lorraine White,New York,Cardiologist,9
D036,Jennifer Green,Houston,Orthopedic,16
D037,David Walton,New York,Orthopedic,26
D038,Dominic Sanders,Miami,Cardiologist,9
D039,Ryan Wood,Denver,Pulmonologist,9
D040,Luis Thomas,Seattle,Cardiologist,7
D041,Jennifer Haley,Los Angeles,General Practitioner,8
D042,Erik Watson,Miami,General Practitioner,16
D043,Jennifer George,Los Angeles,Neurologist,14
D044,Christina Johnson,Los Angeles,Neurologist,30
D045,Tim Brown MD,New York,Neurologist,26
D046,Jeffery Wilson,New York,Neurologist,22
D047,Kimberly Anderson,Denver,Neurologist,26
D048,Adam Miller,Los Angeles,Endocrinologist,27
D049,Sabrina Glenn,Los Angeles,Pulmonologist,9
D050,Cindy Edwards,Seattle,Endocrinologist,17
D051,Doris Giles,Chicago,Neurologist,6
D052,Nicole Fitzgerald,Los Angeles,Pulmonologist,27
D053,Joseph Carter,Houston,Orthopedic,7
D054,Matthew Alvarado,Houston,Pulmonologist,13
D055,Edward Williams,Los Angeles,Endocrinologist,9
D056,Lisa Becker,Denver,Endocrinologist,21
D057,Angela Ramos,Seattle,Orthopedic,15
D058,Heidi Morgan,Denver,Pulmonologist,30
D059,Tonya Flores,Houston,Orthopedic,6
D060,Laura Foster,Chicago,Endocrinologist,24
D061,Richard Stone,New York,Neurologist,14
D062,Leslie Schultz,Houston,Cardiologist,16
D063,Daniel Gomez,Denver,Orthopedic,29
D064,Alejandro Randolph,Seattle,Pulmonologist,14
D065,Jasmine Francis,Miami,General Practitioner,22
D066,Paula Rhodes,Denver,Neurologist,11
D067,Alexis Dillon,Los Angeles,Neurologist,9
D068,Michaela Hamilton,Los Angeles,General Practitioner,28
D069,Nicholas Bowers,Seattle,General Practitioner,8
D070,Mr. Lee Hill,Los Angeles,Cardiologist,28
D071,Christopher Tucker,Denver,Orthopedic,17
D072,Theresa Brown,Miami,Cardiologist,9
D073,Lauren Acevedo,Houston,Orthopedic,5
D074,Daniel Fox,Seattle,Cardiologist,22
D075,Deborah Mcguire,Denver,Orthopedic,30
D076,Kathy Contreras,Miami,Neurologist,14
D077,Jeffrey Mcgee,New York,Orthopedic,10
D078,Sharon Kramer,Seattle,Endocrinologist,11
D079,Kevin Snyder,Seattle,Pulmonologist,29
D080,Raymond Norton,Los Angeles,General Practitioner,9
D081,Oscar Mann,Houston,Endocrinologist,14
D082,Miguel Dennis,Denver,General Practitioner,12
D083,Ernest Everett,Houston,Endocrinologist,27
D084,John Lee,Miami,Neurologist,11
D085,Dawn Morales,Chicago,Neurologist,10
D086,Mr. Larry Branch,Houston,General Practitioner,20
D087,Mr. Juan Greene DVM,Los Angeles,Endocrinologist,18
D088,Wesley Wilson,Seattle,Cardiologist,19
D089,Cheryl Stevenson,Miami,Pulmonologist,12
D090,Dillon Rodriguez,Chicago,Pulmonologist,15
D091,Sean Gomez,Chicago,Orthopedic,27
D092,Joseph Hamilton,Chicago,General Practitioner,30
D093,Joshua Giles,Seattle,Endocrinologist,22
D094,Luke Duran,New York,Pulmonologist,30
D095,James Rice,Houston,General Practitioner,9
D096,James Soto,Denver,General Practitioner,21
D097,Holly Smith,Miami,Cardiologist,30
D098,Beth King,Chicago,Endocrinologist,21
D099,Kimberly Trujillo,Chicago,Cardiologist,17
D100,Thomas Richard,New York,Endocrinologist,25
